"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 12 09:57:46 GMT 2025","Wed Mar 12 09:58:04 GMT 2025","18897","firefox. Tests for the sections: Sign Up, Login","","","","","TC_001: Successful Registration with Valid Data",""
"passed","Wed Mar 12 09:57:29 GMT 2025","Wed Mar 12 09:57:35 GMT 2025","5398","chrome. Tests for the sections: Sign Up, Login","","","","","TC_002: Submission with Minimum Valid Input Values",""
"passed","Wed Mar 12 09:58:05 GMT 2025","Wed Mar 12 09:58:08 GMT 2025","3353","firefox. Tests for the sections: Sign Up, Login","","","","","TC_002: Submission with Minimum Valid Input Values",""
"passed","Wed Mar 12 09:58:38 GMT 2025","Wed Mar 12 09:58:51 GMT 2025","12532","edge. Tests for the sections: Sign Up, Login","","","","","TC_001: Successful Registration with Valid Data",""
"passed","Wed Mar 12 09:59:05 GMT 2025","Wed Mar 12 09:59:17 GMT 2025","12139","electron. Tests for the sections: Sign Up, Login","","","","","TC_001: Successful Registration with Valid Data",""
"passed","Wed Mar 12 09:59:17 GMT 2025","Wed Mar 12 09:59:24 GMT 2025","7296","electron. Tests for the sections: Sign Up, Login","","","","","TC_002: Submission with Minimum Valid Input Values",""
"passed","Wed Mar 12 09:57:09 GMT 2025","Wed Mar 12 09:57:29 GMT 2025","20179","chrome. Tests for the sections: Sign Up, Login","","","","","TC_001: Successful Registration with Valid Data",""
"passed","Wed Mar 12 09:58:51 GMT 2025","Wed Mar 12 09:58:57 GMT 2025","5537","edge. Tests for the sections: Sign Up, Login","","","","","TC_002: Submission with Minimum Valid Input Values",""
